Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeWhenStarted,AvgYearsPerCompany,StabilityInRole,LoyaltyToManager,CompanyLoyalty,PromotionFrequency,AvgTrainingPerYear,IncomePerKm,AvgMonthlyIncomePerYear,AgeGroup
37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,No,15,3,1,0,15,2,1,1,0,0,0,22,3.0,0.0,0.0,0.06666666666666667,1.0,2.0,103.72727272727273,4777.0,36-40
51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Yes,12,3,3,3,18,2,4,10,0,2,7,33,2.0,0.0,0.7,0.5555555555555556,3.3333333333333335,0.2,330.75,246.1,51-65
42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,No,14,3,4,1,23,2,4,20,4,4,8,19,4.6,0.2,0.4,0.8695652173913043,4.0,0.1,21.346153846153847,676.25,41-50
40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Yes,22,4,3,3,6,2,2,4,3,0,2,34,3.0,0.75,0.5,0.6666666666666666,4.0,0.5,1124.0,1864.25,36-40
55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Yes,13,3,4,1,24,2,3,5,2,1,4,31,4.8,0.4,0.8,0.20833333333333334,2.5,0.4,362.5,3971.8,51-65
36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,No,13,3,1,0,8,2,3,8,1,1,7,28,8.0,0.125,0.875,1.0,4.0,0.25,35.27777777777778,269.125,36-40
32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,No,15,3,4,0,10,6,3,7,7,7,7,22,3.3333333333333335,1.0,1.0,0.7,0.875,0.8571428571428571,339.3333333333333,1594.142857142857,31-35
25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,No,12,3,1,0,5,1,4,5,2,0,3,20,5.0,0.4,0.6,1.0,5.0,0.2,145.75,851.2,15-25
20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,No,19,3,2,0,1,2,3,1,0,0,0,19,1.0,0.0,0.0,1.0,1.0,2.0,32.25,2973.0,15-25
42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0,26,8.0,0.0,0.0,0.0625,1.0,2.0,35.21739130434783,15992.0,41-50
31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Yes,11,3,3,2,10,2,1,9,7,8,5,21,40.0,0.7777777777777778,0.5555555555555556,0.9,1.0,0.2222222222222222,51.333333333333336,650.5555555555555,31-35
38,0.0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,21,2.4285714285714284,0.8461538461538461,0.6923076923076923,0.7647058823529411,6.5,0.23076923076923078,95.5,409.9230769230769,36-40
39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,No,11,3,1,0,20,4,3,20,7,11,10,19,20.0,0.35,0.5,1.0,1.6666666666666667,0.2,204.0,227.65,36-40
54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2,30,6.0,0.5,0.5,0.16666666666666666,2.0,1.0,164.2,4851.5,51-65
49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,Male,85,2,5,Manager,3,Married,18711,12124,2,No,13,3,3,1,23,2,4,1,0,0,0,26,11.5,0.0,0.0,0.043478260869565216,1.0,2.0,274.5,18711.0,41-50
24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4,18,6.0,0.8333333333333334,0.6666666666666666,1.0,3.0,0.5,30.043478260869566,454.1666666666667,15-25
40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13,18,3.142857142857143,0.3,0.65,0.9090909090909091,3.3333333333333335,0.15,50.333333333333336,661.85,36-40
